time,event
0,1
5,4
15,1
15,1
15,1
20,4
30,4
30,1
30,1
45,1
50,1
55,1
55,4
55,1
70,1
80,4
85,1
100,1
100,1
100,1
105,4
110,1
125,1
130,4
130,4
150,1
155,1
155,1
165,1
170,4
170,4
170,1
180,1
185,1
190,4
190,1
195,4
205,1
210,4
210,1
210,1
220,4
225,1
235,4
235,1
240,4
245,1
245,4
255,1
260,4
265,4
265,1
270,4
280,1
285,4
285,4
290,4
300,1
320,1
325,4
330,4
355,1
370,4
375,1
380,4
380,4
395,4
400,1
405,4
410,4
410,1
420,4
430,4
450,4
455,1
455,4
460,4
465,1
470,1
470,1
485,4
495,4
505,1
505,4
515,1
520,1
520,1
525,1
525,1
530,4
540,1
540,1
555,4
570,1
575,1
575,1
580,4
595,1
595,1
605,4
625,1
630,1
645,11
645,4
650,1
650,1
680,1
685,1
690,4
700,11
705,1
705,1
710,4
730,4
735,1
750,4
750,1
755,11
760,1
770,1
775,1
805,11
805,1
810,4
820,11
825,1
830,4
830,1
855,4
885,1
900,11
940,1
945,11
965,4
995,1
1000,4
1000,11
1005,4
1025,4
1030,4
1050,4
1055,11
1065,11
1070,4
1095,4
1120,4
1210,11
1320,11
1375,11
1420,11
1430,11
1495,4
1505,4
1520,4
1560,4
1580,11
1585,4
1610,4
1615,4
1630,1
1640,4
1645,1
1655,4
1665,4
1685,1
1690,4
1700,1
1715,4
1725,11
1735,1
1740,4
1745,11
1755,1
1760,1
1765,4
1800,11
1805,4
1810,1
1825,1
1840,1
1865,1
1895,1
1920,1
1920,11
1925,4
1930,11
1950,1
1965,4
1965,1
1985,1
2020,1
2025,4
2040,1
2055,11
2065,4
2090,4
2095,1
2110,11
2120,11
2150,1
2165,1
2170,4
2180,11
2190,1
2205,1
2260,1
2280,11
2315,1
2335,11
2370,1
2425,1
2440,1
2445,4
2470,4
2510,4
2535,4
2555,1
2610,1
2625,1
2635,11
2680,1
2695,1
2695,11
2710,4
2730,1
2745,1
2750,11
2750,1
2755,4
2760,11
2795,4
2800,1
2815,11
2820,4
2820,11
2845,4
2855,1
2870,11
2870,1
2870,4
2875,11
2890,1
2905,1
2920,1
2925,1
2935,1
2945,4
2950,1
2980,1
2985,4
2995,1
3005,1
3005,1
3050,1
3060,1
3060,1
3065,4
3105,4
3105,1
3110,4
3115,1
3130,1
3130,4
3145,1
3150,4
3150,1
3170,1
3170,1
3175,4
3200,4
3205,1
3220,1
3225,1
3240,4
3250,11
3275,1
3280,1
3285,4
3290,1
3305,1
3305,11
3345,1
3350,4
3350,4
3360,1
3365,4
3375,4
3380,4
3390,11
3390,4
3395,1
3415,4
3440,11
3440,4
3445,11
3450,1
3490,4
3505,1
3510,4
3510,1
3515,4
3530,1
3530,11
3540,11
3545,1
3555,4
3565,1
3580,1
3580,4
3595,1
3595,11
3600,1
3605,4
3615,1
3645,4
3650,1
3665,1
3670,1
3675,4
3685,4
3700,4
3705,1
3720,1
3720,1
3725,4
3725,4
3750,4
3765,4
3770,1
3785,1
3785,1
3840,1
3840,1
3855,1
3860,11
3870,1
3885,1
3895,1
3940,1
3945,4
3950,1
3960,11
3965,1
3970,11
3980,11
4005,1
4020,1
4020,1
4025,4
4035,1
4050,1
4050,4
4065,1
4080,1
4090,4
4110,1
4135,1
4165,1
4180,1
4190,1
4195,1
4205,1
4250,1
4260,1
4275,1
4280,4
4305,1
4305,4
4330,4
4360,1
4365,4
4370,4
4375,11
4390,4
4395,4
4410,1
4435,4
4455,1
4465,1
4495,11
4510,1
4515,4
4520,1
4525,4
4535,1
4550,11
4550,1
4550,4
4590,4
4605,1
4615,11
4625,11
4660,1
4675,11
4680,11
4685,11
4695,11
4715,1
4770,1
4820,11
4825,1
4840,1
4875,11
4895,1
4900,4
4920,1
4930,11
4940,11
4975,1
4990,1
4995,11
5045,1
5070,4
5100,1
5155,1
5180,4
5195,11
5205,4
5210,11
5210,1
5220,11
5225,1
5280,1
5285,4
5305,1
5320,1
5335,1
5345,11
5365,11
5375,11
5375,11
5385,11
5390,1
5395,4
5395,11
5420,4
5430,11
5440,1
5440,11
5455,1
5460,4
5470,4
5485,11
5485,4
5490,1
5495,11
5505,1
5505,1
5510,1
5520,1
5550,11
5560,11
5560,1
5565,11
5565,1
5575,1
5580,1
5615,11
5615,1
5620,11
5625,11
5630,1
5635,1
5635,4
5635,11
5655,1
5670,1
5690,1
5705,1
5710,11
5710,1
5725,1
5760,1
5765,4
5765,1
5780,1
5805,4
5820,1
5825,1
5835,1
5850,1
5875,1
5880,1
5905,1
5930,1
5935,1
5945,1
5960,1
5960,1
5990,1
6015,1
6015,1
6020,4
6045,4
6045,1
6070,1
6070,4
6085,1
6090,1
6100,1
6140,1
6145,1
6150,4
6155,1
6160,4
6185,4
6190,4
6195,1
6205,1
6210,4
6210,1
6215,4
6215,4
6225,11
6240,4
6250,4
6255,4
6260,1
6265,4
6275,1
6285,1
6330,1
6340,1
6385,1
6395,1
6400,1
6410,11
6410,1
6415,4
6420,11
6435,1
6450,1
6455,1
6460,4
6480,1
6495,4
6505,1
6535,1
6540,4
6560,1
6565,4
6565,4
6590,4
6605,4
6630,4
6650,1
6665,1
6670,4
6675,4
6680,11
6695,4
6700,4
6720,4
6725,4
6740,11
6745,4
6750,4
6775,4
6785,4
6795,1
6805,1
6820,1
6850,1
6875,1
6880,4
6905,1
6960,1
6970,11
6975,1
7025,11
7030,1
7085,1
7140,1
7160,11
7170,11
7195,11
7195,1
7250,11
7250,1
7305,11
7305,1
7320,1
7335,1
7390,1
7395,4
7540,11
7555,11
7595,11
7685,11
7740,11
7790,11
7845,11
7900,11
8070,11
8155,11
8255,11
8300,4
8320,1
8375,1
8390,1
8395,4
8420,4
8445,4
8465,1
8520,1
8525,4
8565,4
8585,11
8590,4
8615,4
8640,4
8665,4
8690,4
8710,1
8765,1
8780,1
8835,1
8850,1
8865,1
8920,11
8920,1
8930,11
8975,1
8980,4
8985,11
9005,4
9030,4
9050,1
9065,1
9100,11
9110,11
9120,1
9155,11
9175,1
9185,4
9210,4
9230,4
9230,1
9255,4
9285,1
9335,11
9340,1
9390,11
9395,1
9400,11
9415,11
9450,1
9460,4
9485,4
9505,1
9505,1
9520,1
9525,4
9550,4
9560,4
9560,1
9570,1
9600,4
9615,1
9615,4
9620,1
9625,1
9635,1
9640,1
9645,4
9670,1
9675,4
9675,1
9690,1
9700,4
9725,4
9730,1
9735,11
9745,1
9765,4
9780,11
9785,1
9800,1
9805,4
9825,1
9840,1
9855,1
9870,1
9880,1
9895,1
9925,1
9925,4
9935,1
9950,1
9950,4
9955,4
9970,1
9980,4
9980,1
9990,1
10005,1
10005,4
10010,4
10025,1
10025,1
10035,4
10035,1
10040,4
10055,1
10060,4
10060,1
10080,1
10080,1
10080,1
10115,1
10135,1
10135,1
10135,1
10140,4
10165,4
10170,1
10185,1
10190,1
10190,1
10195,4
10215,1
10220,4
10225,1
10230,4
10240,1
10245,1
10250,4
10250,11
10255,4
10280,4
10295,1
10305,4
10310,11
10310,1
10345,4
10365,11
10365,1
10365,1
10420,1
10420,1
10425,4
10430,4
10445,1
10470,4
10475,1
10480,4
10490,1
10500,1
10505,4
10515,1
10520,4
10525,1
10540,1
10540,1
10545,1
10560,1
10595,1
10595,1
10615,1
10630,1
10650,1
10650,1
10685,1
10705,1
10705,1
10720,1
