time,event
5,4
5,4
15,1
25,6
30,4
45,4
50,1
55,8
55,1
70,4
70,1
85,1
95,4
105,1
110,8
110,1
115,6
125,1
135,10
140,1
145,8
160,1
165,4
180,1
185,4
185,6
185,11
190,12
195,11
195,1
200,10
205,6
205,10
225,10
250,6
250,1
255,6
270,10
275,11
275,4
280,12
285,11
290,10
295,1
305,1
310,1
315,8
320,6
340,10
340,11
345,12
350,7
360,1
365,8
365,1
370,4
390,6
390,6
410,4
410,4
415,1
430,6
435,4
450,10
460,4
470,1
475,4
480,6
500,6
500,4
500,10
520,1
520,10
535,1
550,6
570,11
570,4
575,12
580,7
590,1
590,1
595,4
595,8
620,4
645,1
645,4
650,4
665,6
675,4
685,4
700,4
705,6
720,1
725,10
735,1
750,1
765,1
775,11
780,10
820,1
830,6
835,1
850,10
850,12
855,11
860,12
865,11
870,10
890,1
900,6
920,6
920,10
940,10
945,1
960,1
970,11
975,10
975,1
990,11
995,10
1025,6
1030,1
1035,8
1045,11
1045,4
1050,10
1065,1
1080,12
1085,7
1085,1
1090,4
1100,11
1105,12
1110,7
1115,4
1120,1
1125,8
1140,4
1160,1
1175,1
1180,4
1200,6
1215,1
1220,4
1240,1
1245,4
1265,6
1270,1
1285,4
1305,1
1320,1
1325,1
1330,4
1335,1
1340,8
1350,6
1370,4
1390,1
1390,1
1405,1
1445,1
1450,8
1460,1
1465,8
1500,1
1515,1
1555,1
1570,1
1585,1
1585,12
1590,11
1595,10
1610,12
1610,1
1615,11
1620,10
1640,1
1645,11
1645,8
1650,10
1665,1
1670,8
1670,11
1675,10
1695,1
1700,6
1710,1
1715,4
1720,1
1720,10
1725,4
1725,6
1740,4
1745,6
1745,4
1760,1
1765,10
1765,1
1770,6
1770,4
1790,6
1790,4
1810,6
1810,4
1815,1
1815,11
1820,4
1820,12
1825,7
1830,10
1830,6
1840,6
1850,10
1860,4
1880,11
1880,1
1885,12
1885,8
1890,11
1895,10
1900,11
1905,12
1910,11
1915,10
1935,1
1940,4
1945,6
1960,6
1965,10
1965,6
1980,4
1985,4
2000,6
2005,1
2010,4
2015,11
2020,10
2020,4
2030,6
2040,1
2050,10
2055,1
2060,8
2070,11
2075,10
2100,6
2110,1
2115,8
2120,4
2125,11
2130,12
2135,11
2140,10
2140,1
2155,1
2165,1
2170,1
2170,4
2190,6
2190,1
2195,8
2210,10
2225,1
2245,1
2260,11
2265,12
2270,11
2275,12
2280,7
2280,1
2285,4
2300,1
2305,8
2310,4
2325,12
2330,1
2330,11
2335,10
2355,1
2385,6
2385,1
2390,8
2405,10
2410,1
2440,1
2455,6
2465,1
2475,4
2495,1
2500,4
2520,6
2520,1
2540,10
2550,1
2575,1
2580,4
2590,6
2600,6
2605,1
2610,10
2620,10
2660,1
2660,11
2665,10
2670,11
2675,12
2680,7
2715,11
2715,1
2720,10
2730,1
2770,6
2780,12
2785,11
2785,1
2790,8
2790,10
2790,10
2840,6
2840,1
2840,11
2845,4
2845,12
2850,7
2860,10
2870,4
2890,6
2910,10
2910,11
2915,12
2920,7
2960,6
2980,4
3005,4
3030,4
3050,6
3070,10
3120,11
3125,12
3130,11
3135,10
3180,12
3185,6
3185,11
3190,10
3205,4
3225,6
3240,11
3245,10
3245,10
3295,6
3295,11
3300,10
3315,10
3350,12
3350,6
3355,7
3365,6
3370,10
3385,10
3420,6
3420,12
3425,7
3435,6
3440,10
3455,10
3490,6
3505,6
3510,10
3525,4
3545,6
3560,6
3565,4
3580,4
3585,6
3600,1
3605,10
3605,8
3655,1
3655,11
3660,12
3665,7
3670,1
3725,1
3780,1
3785,8
3835,1
3855,12
3860,7
3890,1
3925,12
3930,7
3945,1
3960,1
4015,1
4070,1
4075,4
4100,4
4125,4
4145,1
4160,1
4165,12
4170,11
4175,10
4215,1
4225,11
4230,10
4270,1
4280,11
4285,10
4325,1
4330,4
4335,6
4350,1
4355,10
4355,4
4360,12
4365,7
4380,4
4400,1
4405,11
4410,10
4430,12
4435,7
4455,1
4460,4
4460,6
4480,4
4480,1
4485,8
4500,6
4520,10
4535,1
4570,6
4590,4
4590,1
4595,4
4610,1
4615,6
4635,4
4655,6
4665,1
4675,10
4680,1
4695,1
4725,11
4730,12
4735,7
4750,1
4805,1
4860,1
4865,8
4865,12
4870,11
4875,12
4880,7
4915,1
4935,12
4940,7
4970,1
4975,4
4995,1
5010,1
5065,1
5120,1
5175,1
5180,8
5230,1
5235,8
5235,12
5240,7
5285,1
5340,1
5345,4
5365,1
5380,12
5380,1
5385,8
5385,11
5390,12
5395,7
5435,1
5440,8
5440,12
5445,7
5490,1
5545,1
5550,8
5600,1
5605,4
5630,4
5650,1
5655,8
5705,1
5710,4
5730,6
5740,12
5745,11
5750,10
5750,4
5770,1
5800,6
5820,4
5825,1
5840,1
5840,1
5845,4
5845,4
5865,1
5865,6
5870,8
5885,10
5895,12
5900,7
5920,1
5935,6
5945,12
5950,11
5955,10
5955,10
5975,1
6005,6
6005,6
6025,10
6025,10
