time,person
5,2
5,3
5,1
15,2
20,2
25,3
25,1
30,3
45,1
50,3
55,3
55,4
60,4
65,1
70,1
70,2
75,2
85,2
90,2
90,1
95,1
105,3
110,3
110,4
115,4
115,1
125,4
130,4
135,1
140,2
145,2
160,3
165,3
180,4
185,4
185,3
185,1
190,1
195,1
195,2
200,1
200,2
205,4
205,3
225,4
250,1
250,2
255,2
255,3
270,1
275,4
275,3
280,4
285,4
290,4
295,3
300,3
305,2
310,2
310,3
315,3
320,1
340,1
340,4
345,4
350,4
360,2
365,2
365,3
370,3
390,3
390,1
410,1
410,3
415,2
420,2
430,3
430,1
435,1
450,3
455,1
460,1
470,2
475,2
480,1
495,2
500,3
500,2
500,1
520,2
520,3
525,2
535,2
540,2
550,1
570,3
570,1
575,3
580,3
590,1
590,2
595,2
595,1
615,2
620,2
640,2
645,1
645,2
650,1
665,2
670,1
675,1
685,2
695,1
700,1
705,2
720,1
725,2
725,1
735,1
740,1
750,1
755,1
765,1
770,1
775,2
780,2
820,1
825,1
830,2
835,1
840,1
850,2
850,4
855,4
860,4
865,4
870,4
890,1
895,1
900,2
920,4
920,2
940,4
945,1
950,1
960,1
965,1
970,2
975,2
975,1
980,1
990,4
995,4
1025,2
1030,1
1035,1
1045,4
1045,2
1050,4
1065,2
1070,2
1080,3
1085,3
1085,1
1090,1
1100,4
1105,4
1110,4
1110,1
1115,1
1120,2
1125,2
1135,1
1140,1
1160,1
1165,1
1175,2
1180,2
1200,2
1215,1
1220,2
1220,1
1240,2
1245,2
1265,2
1270,1
1275,1
1285,2
1305,2
1310,2
1320,2
1325,2
1325,1
1330,1
1335,2
1340,2
1350,1
1370,1
1390,1
1390,2
1395,1
1395,2
1405,1
1410,1
1445,2
1450,2
1460,1
1465,1
1500,2
1505,2
1515,1
1520,1
1555,2
1560,2
1570,1
1575,1
1585,1
1585,3
1590,1
1590,3
1595,3
1610,4
1610,2
1615,4
1615,2
1620,4
1640,1
1645,3
1645,1
1650,3
1665,2
1670,2
1670,4
1675,4
1695,1
1700,3
1700,1
