time,athome
5,1
5,1
5,1
15,1
20,1
25,1
25,1
30,1
45,1
50,1
55,1
55,1
60,1
65,1
70,1
70,1
75,1
85,1
90,1
90,1
95,1
105,1
110,1
110,1
115,1
115,1
125,1
130,1
135,1
140,1
145,1
160,1
165,1
180,1
185,1
185,1
185,1
190,1
195,1
195,1
200,1
200,1
205,1
205,1
225,1
250,1
250,1
255,1
255,1
270,1
275,1
275,1
280,1
285,1
290,1
295,1
300,1
305,1
310,1
310,1
315,1
320,1
340,1
340,1
345,1
350,2
360,2
365,2
365,2
370,2
390,2
390,2
410,2
410,2
415,2
420,2
430,2
430,2
435,2
450,2
455,2
460,2
470,2
475,2
480,2
495,2
500,2
500,2
500,2
520,2
520,2
525,2
535,2
540,2
550,2
570,2
570,2
575,2
580,6
590,6
590,6
595,6
595,6
615,6
620,6
640,6
645,6
645,6
650,6
665,6
670,6
675,6
685,6
695,6
700,6
705,6
720,6
725,6
725,6
735,6
740,6
750,6
755,6
765,6
770,6
775,6
780,6
820,6
825,6
830,6
835,6
840,6
850,6
850,3
855,3
860,3
865,3
870,3
890,3
895,3
900,3
920,3
920,3
940,3
945,3
950,3
960,3
965,3
970,3
975,3
975,3
980,3
990,3
995,3
1025,3
1030,3
1035,3
1045,3
1045,3
1050,3
1065,3
1070,3
1080,1
1085,3
1085,3
1090,3
1100,3
1105,3
1110,6
1110,6
1115,6
1120,6
1125,6
1135,6
1140,6
1160,6
1165,6
1175,6
1180,6
1200,6
1215,6
1220,6
1220,6
1240,6
1245,6
1265,6
1270,6
1275,6
1285,6
1305,6
1310,6
1320,6
1325,6
1325,6
1330,6
1335,6
1340,6
1350,6
1370,6
1390,6
1390,6
1395,6
1395,6
1405,6
1410,6
1445,6
1450,6
1460,6
1465,6
1500,6
1505,6
1515,6
1520,6
1555,6
1560,6
1570,6
1575,6
1585,6
1585,2
1590,2
1590,2
1595,2
1610,1
1610,1
1615,1
1615,1
1620,1
1640,1
1645,1
1645,1
1650,1
1665,1
1670,1
1670,1
1675,1
1695,1
1700,1
1700,1
1710,1
1715,1
1720,1
1720,1
1725,1
1725,1
1735,1
1740,1
1745,1
1745,1
1760,1
1765,1
1765,1
1765,1
1770,1
1770,1
1790,1
1790,1
1810,1
1810,1
1815,1
1815,1
1820,1
1820,1
1825,5
1830,5
1830,5
1840,5
1850,5
1860,5
1880,5
1880,5
1885,5
1885,5
1890,5
1895,5
1900,5
1905,5
1910,5
1915,5
1935,5
1940,5
1945,5
1960,5
1965,5
1965,5
1980,5
1985,5
2000,5
2005,5
2010,5
2015,5
2020,5
2020,5
2030,5
2040,5
2045,5
2050,5
2055,5
2060,5
2070,5
2075,5
2100,5
2110,5
2115,5
2120,5
2125,5
2130,5
2135,5
2140,5
2140,5
2145,5
2155,5
2160,5
2165,5
2170,5
2170,5
2175,5
2190,5
2190,5
2195,5
2210,5
2225,5
2230,5
2245,5
2250,5
2260,5
2265,5
2270,5
2275,5
2280,8
2280,8
2285,8
2300,8
2305,8
2305,8
2310,8
2325,3
2330,3
2330,3
2335,3
2335,3
2355,3
2360,3
2385,3
2385,3
2390,3
2405,3
2410,3
2415,3
2440,3
2445,3
2455,3
2465,3
2470,3
2475,3
2495,3
2495,3
2500,3
2500,3
2520,3
2520,3
2525,3
2540,3
2550,3
2555,3
2575,3
2580,3
2590,3
2600,3
2605,3
2610,3
2610,3
2620,3
2660,3
2660,3
2665,3
2665,3
2670,3
2675,3
2680,10
2715,10
2715,10
2720,10
2720,10
2730,10
2735,10
2770,10
2780,4
2785,4
2785,4
2790,4
2790,4
2790,4
2840,4
2840,4
2840,4
2845,4
2845,4
2850,11
2860,11
2865,11
2870,11
2890,11
2910,11
2910,11
2915,11
2920,15
2960,15
2980,15
3000,15
3005,15
3025,15
3030,15
3050,15
3070,15
3120,15
3125,15
3130,15
3135,15
3180,8
3185,8
3185,8
3190,8
3205,8
3225,8
3240,8
3245,8
3245,8
3295,8
3295,8
3300,8
3315,8
3350,3
3350,3
3355,8
3365,8
3370,8
3385,8
3420,8
3420,5
3425,8
3435,8
3440,8
3455,8
3490,8
3505,8
3510,8
3525,8
3545,8
3560,8
3565,8
3580,8
3585,8
3600,8
3605,8
3605,8
3655,8
3655,8
3660,8
3660,8
3665,12
3670,12
3675,12
3725,12
3730,12
3780,12
3785,12
3835,12
3840,12
3855,6
3860,12
3890,12
3895,12
3925,7
3930,12
