time,event
4071,2
5218,2
5711,1
6392,1
7308,9
7695,10
8532,10
8941,1
8943,2
9083,9
9701,2
10372,9
10705,10
10820,10
10824,10
10825,10
10828,10
10869,1
10872,1
10874,2
10884,8
10949,9
11102,9
11408,9
11760,1
11763,2
11766,1
12029,2
12731,10
12735,10
12745,9
12761,2
12787,8
12791,8
12795,8
12991,2
13020,10
13076,1
13080,1
13103,8
13319,2
13324,1
13402,9
13451,2
13930,2
14421,9
14478,2
14679,10
14682,10
15064,10
15264,10
15271,10
15402,9
15459,1
15465,1
15793,9
16289,10
16603,9
16621,8
16789,10
16796,10
16964,2
17091,1
17094,2
17097,8
17245,2
17302,1
17302,10
17403,1
17440,9
17590,10
17662,8
17830,2
18190,10
18211,9
18272,2
18274,1
18284,8
18555,10
18559,10
18765,9
18857,1
18860,2
18863,2
18887,1
18890,1
18894,8
18985,10
19126,8
19529,2
19628,9
19803,10
20101,10
20141,10
20195,1
20292,2
20425,8
20454,10
20526,10
20543,10
20596,2
20703,9
20759,10
21010,1
21013,1
21100,2
21374,9
21532,10
21536,10
21699,2
21716,1
21720,10
21723,10
21728,9
21731,1
21830,1
21843,8
21893,2
21897,1
21929,9
22188,10
22532,9
22555,1
22558,1
22616,10
22647,8
22734,9
22799,10
22834,2
23027,1
23056,2
23154,9
23160,9
23166,9
23234,1
23313,9
23382,8
23386,8
23489,1
23496,8
23513,9
23537,8
23542,8
23584,9
23592,2
23593,1
23596,2
23599,1
23618,2
23623,8
23781,10
23784,9
23951,2
24026,10
24386,8
24437,1
24499,10
24501,2
24857,9
24975,10
25036,2
25089,1
25093,1
25093,1
25096,1
25099,1
25102,8
25134,8
25288,10
25453,10
25455,9
25462,8
25535,8
25829,10
25854,10
25930,9
26255,2
26344,8
26415,9
26465,8
26556,9
26734,10
26798,10
26802,2
26850,9
26895,8
27505,1
27509,2
27563,1
27655,10
28155,1
28158,1
28162,2
28175,10
28178,9
28413,9
28481,10
28803,8
28926,1
28928,2
28931,2
29007,9
29021,2
29024,1
29053,8
29056,9
29255,10
29436,2
29492,1
29510,9
29533,9
29676,1
29685,2
29690,1
29706,10
29754,8
29776,10
29797,10
29819,10
29873,10
29893,2
30082,8
30094,10
30330,2
30431,8
30468,9
30489,9
30492,1
30550,9
30599,1
