time,event
4071,2
5218,2
5711,1
6392,1
7308,9
8941,1
8943,2
9083,9
9701,2
10372,9
10869,1
10872,1
10874,2
10949,9
11102,9
11408,9
11760,1
11763,2
11766,1
12029,2
12745,9
12761,2
12991,2
13076,1
13080,1
13319,2
13324,1
13402,9
13451,2
13930,2
14421,9
14478,2
15402,9
15459,1
15465,1
15793,9
16603,9
16964,2
17091,1
17094,2
17245,2
17302,1
17403,1
17440,9
17830,2
18211,9
18272,2
18274,1
18765,9
18857,1
18860,2
18863,2
18887,1
18890,1
19529,2
19628,9
20195,1
20292,2
20596,2
20703,9
21010,1
21013,1
21100,2
21374,9
21699,2
21716,1
21728,9
21731,1
21830,1
21893,2
21897,1
21929,9
22532,9
22555,1
22558,1
22734,9
22834,2
23027,1
23056,2
23154,9
23160,9
23166,9
23234,1
23313,9
23489,1
23513,9
23584,9
23592,2
23593,1
23596,2
23599,1
23618,2
23784,9
23951,2
24437,1
24501,2
24857,9
25036,2
25089,1
25093,1
25093,1
25096,1
25099,1
25455,9
25930,9
26255,2
26415,9
26556,9
26802,2
26850,9
27505,1
27509,2
27563,1
28155,1
28158,1
28162,2
28178,9
28413,9
28926,1
28928,2
28931,2
29007,9
29021,2
29024,1
29056,9
29436,2
29492,1
29510,9
29533,9
29676,1
29685,2
29690,1
29893,2
30330,2
30468,9
30489,9
30492,1
30550,9
30599,1
30601,2
30787,2
30788,1
30925,2
30929,2
31138,2
31315,2
31364,9
31509,9
31682,2
31685,1
31724,2
31855,2
31914,9
31975,9
32087,9
32241,2
32356,9
32422,9
32490,9
32496,9
32691,2
32781,9
32896,2
33005,2
33110,1
33120,1
33148,9
33232,2
33247,1
33734,9
34003,1
34015,2
34095,9
34352,2
34362,2
34391,9
34420,9
34629,2
34639,2
34682,2
34694,9
34889,9
35039,9
35114,1
35149,2
35330,2
35471,9
35558,9
35565,2
35768,2
35876,2
36225,9
36250,9
36283,2
36284,1
36771,2
36817,2
36850,9
36984,1
36996,2
37017,9
37051,2
37052,9
37246,2
37345,2
37347,1
37348,2
37350,1
37351,2
37387,9
37592,2
37634,2
37903,2
38046,2
38122,9
38222,2
38233,9
38268,9
38489,1
38491,1
38541,2
38557,9
38575,2
38643,9
38656,2
38664,2
38701,9
38704,9
39070,9
39102,2
