event1,event2,event3,event4,event5,event6,athome,person
1,1,6,13,12,13,1,2
1,6,13,12,13,2,1,3
6,13,12,13,2,6,1,3
13,12,13,2,6,2,1,2
12,13,2,6,2,8,1,3
13,2,6,2,8,5,1,2
2,6,2,8,5,10,1,3
6,2,8,5,10,7,1,2
2,8,5,10,7,5,1,2
8,5,10,7,5,9,1,3
5,10,7,5,9,7,1,2
10,7,5,9,7,4,1,2
7,5,9,7,4,15,1,3
5,9,7,4,15,3,1,2
9,7,4,15,3,14,1,2
7,4,15,3,14,20,1,3
4,15,3,14,20,11,1,3
15,3,14,20,11,9,1,3
3,14,20,11,9,1,1,2
14,20,11,9,1,14,1,2
20,11,9,1,14,11,1,3
11,9,1,14,11,12,1,3
9,1,14,11,12,5,1,3
1,14,11,12,5,7,1,3
14,11,12,5,7,14,1,3
11,12,5,7,14,1,1,2
12,5,7,14,1,13,1,2
5,7,14,1,13,1,1,3
7,14,1,13,1,2,1,2
14,1,13,1,2,6,1,3
1,13,1,2,6,14,1,2
13,1,2,6,14,12,1,3
1,2,6,14,12,6,1,3
2,6,14,12,6,9,1,3
6,14,12,6,9,1,1,2
14,12,6,9,1,6,1,2
12,6,9,1,6,11,1,3
6,9,1,6,11,8,1,2
9,1,6,11,8,10,1,2
1,6,11,8,10,9,1,3
6,11,8,10,9,11,1,3
11,8,10,9,11,9,1,2
8,10,9,11,9,9,1,3
10,9,11,9,9,11,1,2
9,11,9,9,11,11,1,3
11,9,9,11,11,8,1,2
9,9,11,11,8,10,1,2
9,11,11,8,10,9,1,3
11,11,8,10,9,8,1,2
11,8,10,9,8,10,1,2
8,10,9,8,10,11,1,3
10,9,8,10,11,8,1,2
9,8,10,11,8,10,1,2
8,10,11,8,10,12,1,3
10,11,8,10,12,5,1,3
11,8,10,12,5,7,1,3
8,10,12,5,7,12,1,2
10,12,5,7,12,5,1,3
12,5,7,12,5,6,1,2
5,7,12,5,6,7,1,3
7,12,5,6,7,6,1,3
12,5,6,7,6,8,1,2
5,6,7,6,8,10,1,2
6,7,6,8,10,12,1,3
7,6,8,10,12,6,1,3
6,8,10,12,6,8,1,2
8,10,12,6,8,10,1,2
10,12,6,8,10,12,1,3
12,6,8,10,12,6,1,3
6,8,10,12,6,9,1,2
8,10,12,6,9,9,1,3
10,12,6,9,9,15,1,2
12,6,9,9,15,15,1,3
6,9,9,15,15,16,1,2
9,9,15,15,16,17,1,2
9,15,15,16,17,18,1,2
15,15,16,17,18,17,1,2
15,16,17,18,17,16,1,3
16,17,18,17,16,17,1,3
17,18,17,16,17,18,1,2
18,17,16,17,18,19,1,2
17,16,17,18,19,21,3,3
16,17,18,19,21,16,3,2
17,18,19,21,16,17,3,2
18,19,21,16,17,21,8,2
19,21,16,17,21,22,5,3
21,16,17,21,22,21,8,3
16,17,21,22,21,22,3,2
17,21,22,21,22,18,3,2
21,22,21,22,18,19,3,2
22,21,22,18,19,16,3,2
21,22,18,19,16,17,3,2
22,18,19,16,17,18,3,2
18,19,16,17,18,19,3,2
19,16,17,18,19,20,3,2
16,17,18,19,20,11,3,2
17,18,19,20,11,9,3,2
18,19,20,11,9,11,3,2
19,20,11,9,11,8,3,2
20,11,9,11,8,10,3,2
11,9,11,8,10,12,3,2
9,11,8,10,12,5,3,2
11,8,10,12,5,7,3,2
8,10,12,5,7,13,3,2
10,12,5,7,13,2,3,2
12,5,7,13,2,6,3,2
5,7,13,2,6,9,3,2
7,13,2,6,9,15,3,2
13,2,6,9,15,20,3,2
2,6,9,15,20,15,3,2
6,9,15,20,15,22,1,3
9,15,20,15,22,21,3,3
15,20,15,22,21,20,3,2
