data,horario,kwh_hcanal1,kwh_hcanal2,chuveiro,arcond,ilum1,ilum2,tem_h_med,tem_h_min,tem_h_max,kwh_total,unix_time
2/3/2020,0,0.295,0.003,0.001,0.004,0.299,0.013000000000000001,25.5,25.3,25.6,0.298,1580688000
2/3/2020,1,0.295,0.0,0.0,0.001,0.305,0.01,25.2,25.1,25.3,0.295,1580691600
2/3/2020,2,0.184,0.003,0.003,0.001,0.193,0.01,25.1,25.0,25.3,0.187,1580695200
2/3/2020,3,0.171,0.001,0.003,0.0,0.18,0.008,25.0,24.9,25.1,0.172,1580698800
2/3/2020,4,0.172,0.0,0.0,0.0,0.18100000000000002,0.006999999999999999,24.9,24.7,24.9,0.172,1580702400
2/3/2020,5,0.166,0.001,0.001,0.0,0.17600000000000002,0.006,24.7,24.7,24.8,0.16699999999999998,1580706000
2/3/2020,6,1.1440000000000001,0.7929999999999999,1.538,0.013999999999999999,0.37,0.016,24.7,24.6,24.7,1.9369999999999998,1580709600
2/3/2020,7,1.161,0.9670000000000001,1.883,0.006,0.217,0.027000000000000003,24.8,24.7,24.9,2.128,1580713200
2/3/2020,8,0.27899999999999997,0.002,0.0,0.0,0.28800000000000003,0.023,25.1,24.9,25.3,0.281,1580716800
2/3/2020,9,0.297,0.004,0.0,0.003,0.302,0.025,25.3,25.2,25.4,0.301,1580720400
2/3/2020,10,0.185,0.036000000000000004,0.0,0.006999999999999999,0.195,0.051,25.2,25.2,25.3,0.221,1580724000
2/3/2020,11,0.45399999999999996,0.342,0.585,0.003,0.172,0.064,25.2,25.1,25.3,0.7959999999999999,1580727600
2/3/2020,12,0.41600000000000004,0.013000000000000001,0.0,0.024,0.409,0.024,25.4,25.2,25.4,0.429,1580731200
2/3/2020,13,0.292,0.002,0.0,0.0,0.304,0.024,25.4,25.3,25.4,0.294,1580734800
2/3/2020,14,0.23600000000000002,0.006,0.0,0.001,0.24100000000000002,0.027999999999999997,25.4,25.3,25.4,0.242,1580738400
2/3/2020,15,0.26899999999999996,0.057,0.002,0.002,0.27399999999999997,0.078,25.3,25.3,25.3,0.326,1580742000
2/3/2020,16,0.507,0.18100000000000002,0.353,0.001,0.341,0.025,25.2,25.2,25.3,0.688,1580745600
2/3/2020,17,0.8690000000000001,0.606,1.188,0.0,0.304,0.027000000000000003,25.2,25.1,25.3,1.475,1580749200
2/3/2020,18,0.391,0.10099999999999999,0.191,0.001,0.304,0.026000000000000002,25.1,25.0,25.1,0.49200000000000005,1580752800
2/3/2020,19,0.27,0.005,0.001,0.004,0.275,0.024,24.8,24.6,25.0,0.275,1580756400
2/3/2020,20,0.332,0.003,0.0,0.003,0.342,0.023,24.5,24.4,24.7,0.335,1580760000
2/3/2020,21,0.29600000000000004,0.04,0.0,0.076,0.272,0.023,24.4,24.3,24.5,0.336,1580763600
