ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,avgT,minT,maxT,kwh_total,unix_time
0.32899999999999996,0.003,0.0,0.0,0.34299999999999997,0.01,0.0,0.0,0.331,0.353,25.1,25.0,25.2,0.33199999999999996,1576454400
0.163,0.004,0.0,0.0,0.175,0.023,0.0,0.0,0.16699999999999998,0.198,24.9,24.8,25.1,0.167,1576458000
0.14,0.001,0.001,0.001,0.152,0.022000000000000002,0.0,0.0,0.14,0.175,24.8,24.7,24.9,0.14100000000000001,1576461600
0.19,0.001,0.001,0.0,0.198,0.01,0.0,0.0,0.192,0.209,24.6,24.4,24.7,0.191,1576465200
0.136,0.001,0.0,0.0,0.146,0.01,0.0,0.0,0.13699999999999998,0.156,24.3,24.3,24.4,0.137,1576468800
0.152,0.0,0.0,0.0,0.161,0.009000000000000001,0.0,0.0,0.152,0.171,24.3,24.1,24.4,0.152,1576472400
0.157,0.001,0.001,0.0,0.165,0.011000000000000001,0.0,0.0,0.157,0.177,24.1,24.0,24.2,0.158,1576476000
0.13699999999999998,0.002,0.0,0.0,0.151,0.023,0.0,0.0,0.139,0.174,24.0,24.0,24.1,0.13899999999999998,1576479600
0.484,0.293,0.568,0.0,0.217,0.026000000000000002,0.0,0.0,0.777,0.8109999999999999,24.1,24.0,24.3,0.7769999999999999,1576483200
0.292,0.061,0.0,0.11900000000000001,0.24100000000000002,0.023,0.0,0.0,0.35200000000000004,0.384,24.4,24.2,24.6,0.353,1576486800
0.17300000000000001,0.001,0.001,0.0,0.17800000000000002,0.023,0.0,0.0,0.175,0.203,24.8,24.6,24.9,0.17400000000000002,1576490400
0.301,0.0,0.0,0.001,0.306,0.009000000000000001,0.0,0.0,0.302,0.317,26.9,26.7,27.1,0.301,1576494000
0.24600000000000002,0.002,0.002,0.0,0.255,0.018000000000000002,0.0,0.0,0.247,0.275,26.7,26.6,26.8,0.24800000000000003,1576497600
0.16399999999999998,0.0,0.0,0.002,0.171,0.01,0.0,0.0,0.165,0.184,26.5,26.4,26.7,0.16399999999999998,1576501200
0.14,0.0,0.0,0.0,0.142,0.006999999999999999,0.0,0.0,0.14,0.15,26.4,26.2,26.4,0.14,1576504800
0.16,0.0,0.001,0.0,0.165,0.006999999999999999,0.0,0.0,0.16,0.17300000000000001,26.2,26.1,26.3,0.16,1576508400
0.14400000000000002,0.0,0.0,0.0,0.155,0.006999999999999999,0.0,0.0,0.14400000000000002,0.162,26.1,25.9,26.2,0.14400000000000002,1576512000
0.163,0.0,0.0,0.0,0.175,0.009000000000000001,0.0,0.0,0.16399999999999998,0.184,26.0,25.9,26.1,0.163,1576515600
0.195,0.006999999999999999,0.001,0.0,0.205,0.024,0.0,0.0,0.20199999999999999,0.231,25.9,25.9,26.1,0.202,1576519200
0.16899999999999998,0.001,0.0,0.0,0.177,0.022000000000000002,0.0,0.0,0.17,0.2,25.9,25.9,25.9,0.16999999999999998,1576522800
0.233,0.016,0.0,0.031,0.225,0.022000000000000002,0.0,0.0,0.249,0.278,25.8,25.7,25.9,0.249,1576526400
0.535,0.244,0.469,0.008,0.309,0.023,0.0,0.0,0.779,0.809,25.7,25.6,25.8,0.779,1576530000
0.174,0.002,0.001,0.0,0.182,0.023,0.0,0.0,0.17600000000000002,0.20600000000000002,25.6,25.6,25.7,0.176,1576533600
0.222,0.001,0.0,0.002,0.226,0.021,0.0,0.0,0.22399999999999998,0.25,25.6,25.4,25.6,0.223,1576537200
1.248,1.082,2.12,0.0,0.22399999999999998,0.027999999999999997,0.0,0.0,2.33,2.373,25.5,25.4,25.6,2.33,1576540800
0.253,0.003,0.0,0.003,0.256,0.022000000000000002,0.0,0.0,0.256,0.282,25.7,25.6,25.8,0.256,1576544400
0.18899999999999997,0.001,0.0,0.0,0.19399999999999998,0.022000000000000002,0.0,0.0,0.19,0.21600000000000003,25.7,25.6,25.8,0.18999999999999997,1576548000
0.126,0.001,0.0,0.0,0.129,0.022000000000000002,0.0,0.0,0.127,0.151,25.6,25.4,25.7,0.127,1576551600
0.14300000000000002,0.001,0.002,0.001,0.142,0.022000000000000002,0.0,0.0,0.14400000000000002,0.16699999999999998,25.4,25.3,25.6,0.14400000000000002,1576555200
0.354,0.188,0.36200000000000004,0.003,0.18,0.024,0.0,0.0,0.541,0.57,25.2,25.1,25.4,0.542,1576558800
0.168,0.001,0.0,0.0,0.17600000000000002,0.022000000000000002,0.0,0.0,0.16899999999999998,0.19899999999999998,25.1,25.1,25.2,0.169,1576562400
0.263,0.055,0.0,0.106,0.223,0.022000000000000002,0.0,0.0,0.318,0.35100000000000003,24.9,24.7,25.1,0.318,1576566000
0.214,0.001,0.0,0.0,0.223,0.022000000000000002,0.0,0.0,0.215,0.24600000000000002,24.7,24.6,24.8,0.215,1576569600
0.308,0.005,0.0,0.008,0.317,0.022000000000000002,0.0,0.0,0.313,0.34700000000000003,24.5,24.3,24.6,0.313,1576573200
0.396,0.065,0.001,0.127,0.341,0.009000000000000001,0.0,0.0,0.461,0.48,24.4,24.3,24.5,0.461,1576576800
0.297,0.001,0.003,0.001,0.301,0.008,0.0,0.0,0.298,0.313,26.5,26.4,26.6,0.298,1576580400
0.251,0.0,0.0,0.0,0.257,0.008,0.0,0.0,0.251,0.265,26.3,26.2,26.4,0.251,1576584000
0.16899999999999998,0.001,0.0,0.001,0.18100000000000002,0.013999999999999999,0.0,0.0,0.16899999999999998,0.196,26.2,26.1,26.3,0.16999999999999998,1576587600
0.177,0.0,0.0,0.0,0.187,0.011000000000000001,0.0,0.0,0.177,0.198,26.1,25.9,26.2,0.177,1576591200
0.13,0.0,0.0,0.0,0.142,0.008,0.0,0.0,0.13,0.151,25.9,25.8,26.0,0.13,1576594800
0.16699999999999998,0.001,0.001,0.001,0.174,0.009000000000000001,0.0,0.0,0.168,0.185,25.8,25.7,25.8,0.16799999999999998,1576598400
0.139,0.0,0.0,0.001,0.151,0.009000000000000001,0.0,0.0,0.139,0.161,25.9,25.8,26.1,0.139,1576602000
0.14400000000000002,0.001,0.001,0.001,0.151,0.021,0.0,0.0,0.145,0.174,26.2,26.1,26.3,0.14500000000000002,1576605600
0.209,0.001,0.0,0.003,0.221,0.022000000000000002,0.0,0.0,0.21,0.24600000000000002,26.3,26.2,26.4,0.21,1576609200
0.276,0.002,0.0,0.003,0.278,0.021,0.0,0.001,0.278,0.304,26.5,26.4,26.6,0.278,1576612800
0.303,0.001,0.001,0.003,0.314,0.022000000000000002,0.0,0.0,0.304,0.33899999999999997,26.6,26.5,26.8,0.304,1576616400
0.293,0.001,0.0,0.001,0.301,0.022000000000000002,0.0,0.0,0.294,0.324,26.8,26.7,27.0,0.294,1576620000
0.28600000000000003,0.02,0.0,0.039,0.276,0.022000000000000002,0.0,0.0,0.306,0.337,27.1,26.9,27.3,0.30600000000000005,1576623600
0.34,0.002,0.001,0.001,0.35100000000000003,0.022000000000000002,0.0,0.0,0.342,0.375,27.4,27.2,27.4,0.342,1576627200
0.22,0.001,0.001,0.001,0.22,0.022000000000000002,0.0,0.0,0.221,0.245,27.5,27.4,27.6,0.221,1576630800
0.22,0.001,0.0,0.0,0.22699999999999998,0.022000000000000002,0.0,0.0,0.221,0.249,27.5,27.5,27.6,0.221,1576634400
