SensorID,StartTime,EndTime,Day
BanhoLamp,6558,6624,1
BanhoLamp,13492,13667,1
BanhoLamp,14352,14470,1
BanhoLamp,19570,19609,1
BanhoLamp,24422,24423,1
BanhoLamp,31610,31764,1
BanhoLamp,40581,40828,1
BanhoLamp,41760,41876,1
BanhoLamp,44473,44663,1
BanhoLamp,46223,46871,1
BanhoLamp,54974,56969,1
BanhoLamp,56223,56969,1
BanhoLamp,71468,71533,1
BanhoLamp,78562,79207,1
BanhoLamp,79277,79290,1
BanhoLamp,79335,79370,1
BanhoLamp,7222,7326,2
BanhoLamp,7394,8249,2
BanhoLamp,8986,9100,2
BanhoLamp,8988,9100,2
BanhoLamp,9182,9189,2
BanhoLamp,14184,14250,2
BanhoLamp,18860,18914,2
BanhoLamp,19149,19391,2
BanhoLamp,22335,22528,2
BanhoLamp,22780,22830,2
BanhoLamp,23935,24017,2
BanhoLamp,31769,31835,2
BanhoLamp,45754,45814,2
BanhoLamp,49268,49410,2
BanhoLamp,49432,49528,2
BanhoLamp,52182,53236,2
BanhoLamp,53832,53906,2
BanhoLamp,56121,56944,2
BanhoLamp,57758,58079,2
BanhoLamp,58670,58736,2
BanhoLamp,59358,59512,2
BanhoLamp,72352,72404,2
BanhoLamp,76259,76319,2
BanhoLamp,78356,78490,2
BanhoLamp,78989,79718,2
BanhoLamp,82679,82764,2
BanhoLamp,83353,83411,2
BanhoLamp,84990,85160,2
BanhoLamp,86035,86185,2
BanhoLamp,9340,9387,3
BanhoLamp,9446,9536,3
BanhoLamp,9611,9703,3
BanhoLamp,13434,14090,3
BanhoLamp,14418,14425,3
BanhoLamp,22945,23119,3
BanhoLamp,23302,23372,3
BanhoLamp,51279,51337,3
BanhoLamp,51674,51776,3
BanhoLamp,52343,52425,3
BanhoLamp,53097,53100,3
BanhoLamp,53520,53750,3
BanhoLamp,57992,57993,3
BanhoLamp,63170,63436,3
BanhoLamp,63589,63831,3
BanhoLamp,73116,73193,3
BanhoLamp,76078,76794,3
BanhoLamp,77225,77239,3
BanhoLamp,2248,2415,4
BanhoLamp,3064,3188,4
BanhoLamp,5804,6366,4
BanhoLamp,6479,6531,4
BanhoLamp,6537,6569,4
BanhoLamp,6908,6975,4
BanhoLamp,6990,7071,4
BanhoLamp,8204,8256,4
BanhoLamp,10147,10193,4
BanhoLamp,13477,14281,4
BanhoLamp,13886,14281,4
BanhoLamp,14236,14281,4
BanhoLamp,18487,18548,4
BanhoLamp,22647,22736,4
BanhoLamp,31291,31375,4
BanhoLamp,34735,34885,4
BanhoLamp,35954,36037,4
BanhoLamp,37432,37630,4
BanhoLamp,37936,37995,4
BanhoLamp,39051,39191,4
BanhoLamp,41407,41469,4
BanhoLamp,42741,43024,4
BanhoLamp,44098,44247,4
BanhoLamp,45783,45847,4
BanhoLamp,48581,48672,4
BanhoLamp,54884,55056,4
BanhoLamp,59010,59245,4
BanhoLamp,59277,59423,4
BanhoLamp,66521,66683,4
BanhoLamp,66961,67167,4
BanhoLamp,72316,72993,4
BanhoLamp,78110,78188,4
BanhoLamp,79708,79768,4
BanhoLamp,80301,81629,4
BanhoLamp,81656,81716,4
BanhoLamp,84654,84795,4
BanhoLamp,85421,86016,4
BanhoLamp,86153,86180,4
BanhoLamp,1028,1151,5
BanhoLamp,3765,3927,5
